Fecha,Producto bruto interno (millones US$) - PBI (millones US$)
T194,9473
T294,10607
T394,10668
T494,11972
T195,12096
T295,13191
T395,13040
T495,13080
T196,12761
T296,13973
T396,13259
T496,13419
T197,12964
T297,14645
T397,14303
T497,14391
T198,13660
T298,14407
T398,13381
T498,12584
T199,11570
T299,12667
T399,11934
T499,12554
T100,12431
T200,13242
T300,12428
T400,12331
T101,11854
T201,13160
T301,12743
T401,13292
T102,12765
T202,14499
T302,12987
T402,13738
T103,13787
T203,15496
T303,14335
T403,14928
T104,15233
T204,17316
T304,16045
T404,17561
T105,17283
T205,19655
T305,18248
T405,19055
T106,19607
T206,22585
T306,22112
T406,23263
T107,23004
T207,25423
T307,25613
T407,28347
T108,28393
T208,32426
T308,31074
T408,29231
T109,26497
T209,30251
T309,31319
T409,34627
T110,33322
T210,37346
T310,38148
T410,40567
T111,39062
T211,42338
T311,43731
T411,45679
T112,44197
T212,47455
T312,49457
T412,52127
T113,49240
T213,51359
T313,50034
T413,52454
T114,48217
T214,51385
T314,52176
T414,52455
T115,46546
T215,49124
T315,48654
T415,50092
T116,45249
T216,50066
T316,51108
T416,52793
T117,50525
T217,54231
T317,56267
T417,58711
T118,54393
T218,58686
T318,57255
T418,59553
T119,54629
T219,59592
T319,59985
T419,62311
T120,53020
T220,41524
T320,53987
T420,61192
T121,55168
T221,57264
T321,56770
T421,60695
T122,57566
T222,62187
T322,62047
T422,66746
T123,61671
T223,68021
T323,70248
T423,72555
T124,66444
T224,73455
T324,75900
T424,80100
T125,74261
T225,81094
T325,86716
