Fecha,Precios de productos sujetos al sistema de franjas de precios (US$ por toneladas) - Ma√≠z,fecha_carga
Ene11,299,2025-06-14
Feb11,325,2025-06-14
Mar11,313,2025-06-14
Abr11,343,2025-06-14
May11,342,2025-06-14
Jun11,318,2025-06-14
Jul11,332,2025-06-14
Ago11,338,2025-06-14
Sep11,305,2025-06-14
Oct11,305,2025-06-14
Nov11,288,2025-06-14
Dic11,286,2025-06-14
Ene12,295,2025-06-14
Feb12,304,2025-06-14
Mar12,301,2025-06-14
Abr12,295,2025-06-14
May12,293,2025-06-14
Jun12,300,2025-06-14
Jul12,365,2025-06-14
Ago12,358,2025-06-14
Sep12,339,2025-06-14
Oct12,343,2025-06-14
Nov12,353,2025-06-14
Dic12,328,2025-06-14
Ene13,333,2025-06-14
Feb13,323,2025-06-14
Mar13,337,2025-06-14
Abr13,306,2025-06-14
May13,318,2025-06-14
Jun13,344,2025-06-14
Jul13,274,2025-06-14
Ago13,251,2025-06-14
Sep13,243,2025-06-14
Oct13,234,2025-06-14
Nov13,235,2025-06-14
Dic13,233,2025-06-14
Ene14,232,2025-06-14
Feb14,247,2025-06-14
Mar14,258,2025-06-14
Abr14,255,2025-06-14
May14,242,2025-06-14
Jun14,235,2025-06-14
Jul14,217,2025-06-14
Ago14,213,2025-06-14
Sep14,200,2025-06-14
Oct14,211,2025-06-14
Nov14,213,2025-06-14
Dic14,209,2025-06-14
Ene15,203,2025-06-14
Feb15,200,2025-06-14
Mar15,199,2025-06-14
Abr15,199,2025-06-14
May15,190,2025-06-14
Jun15,197,2025-06-14
Jul15,202,2025-06-14
Ago15,188,2025-06-14
Sep15,197,2025-06-14
Oct15,200,2025-06-14
Nov15,191,2025-06-14
Dic15,188,2025-06-14
Ene16,193,2025-06-14
Feb16,185,2025-06-14
Mar16,162,2025-06-14
Abr16,168,2025-06-14
May16,174,2025-06-14
Jun16,190,2025-06-14
Jul16,173,2025-06-14
Ago16,167,2025-06-14
Sep16,161,2025-06-14
Oct16,166,2025-06-14
Nov16,163,2025-06-14
Dic16,159,2025-06-14
Ene17,167,2025-06-14
Feb17,171,2025-06-14
Mar17,163,2025-06-14
Abr17,160,2025-06-14
May17,160,2025-06-14
Jun17,161,2025-06-14
Jul17,162,2025-06-14
Ago17,158,2025-06-14
Sep17,154,2025-06-14
Oct17,157,2025-06-14
Nov17,156,2025-06-14
Dic17,156,2025-06-14
Ene18,164,2025-06-14
Feb18,170,2025-06-14
Mar18,183,2025-06-14
Abr18,193,2025-06-14
May18,195,2025-06-14
Jun18,172,2025-06-14
Jul18,161,2025-06-14
Ago18,170,2025-06-14
Sep18,158,2025-06-14
Oct18,166,2025-06-14
Nov18,164,2025-06-14
Dic18,169,2025-06-14
Ene19,171,2025-06-14
Feb19,177,2025-06-14
Mar19,175,2025-06-14
Abr19,167,2025-06-14
May19,176,2025-06-14
Jun19,197,2025-06-14
Jul19,196,2025-06-14
Ago19,175,2025-06-14
Sep19,158,2025-06-14
Oct19,171,2025-06-14
Nov19,171,2025-06-14
Dic19,171,2025-06-14
Ene20,177,2025-06-14
Feb20,176,2025-06-14
Mar20,170,2025-06-14
Abr20,154,2025-06-14
May20,149,2025-06-14
Jun20,161,2025-06-14
Jul20,169,2025-06-14
Ago20,166,2025-06-14
Sep20,187,2025-06-14
Oct20,219,2025-06-14
Nov20,223,2025-06-14
Dic20,221,2025-06-14
Ene21,245,2025-06-14
Feb21,252,2025-06-14
Mar21,253,2025-06-14
Abr21,275,2025-06-14
May21,315,2025-06-14
Jun21,302,2025-06-14
Jul21,299,2025-06-14
Ago21,264,2025-06-14
Sep21,276,2025-06-14
Oct21,269,2025-06-14
Nov21,266,2025-06-14
Dic21,273,2025-06-14
Ene22,285,2025-06-14
Feb22,306,2025-06-14
Mar22,362,2025-06-14
Abr22,355,2025-06-14
May22,352,2025-06-14
Jun22,341,2025-06-14
Jul22,309,2025-06-14
Ago22,306,2025-06-14
Sep22,326,2025-06-14
Oct22,365,2025-06-14
Nov22,341,2025-06-14
Dic22,309,2025-06-14
Ene23,304,2025-06-14
Feb23,298,2025-06-14
Mar23,290,2025-06-14
Abr23,294,2025-06-14
May23,269,2025-06-14
Jun23,274,2025-06-14
Jul23,247,2025-06-14
Ago23,217,2025-06-14
Sep23,233,2025-06-14
Oct23,228,2025-06-14
Nov23,212,2025-06-14
Dic23,205,2025-06-14
Ene24,204,2025-06-14
Feb24,193,2025-06-14
Mar24,191,2025-06-14
Abr24,192,2025-06-14
May24,198,2025-06-14
Jun24,196,2025-06-14
Jul24,184,2025-06-14
Ago24,183,2025-06-14
Sep24,202,2025-06-14
Oct24,210,2025-06-14
Nov24,208,2025-06-14
Dic24,207,2025-06-14
Ene25,219,2025-06-14
Feb25,227,2025-06-14
Mar25,209,2025-06-14
Abr25,220,2025-06-14
Jul01,113,2025-06-15
Ago01,112,2025-06-15
Sep01,107,2025-06-15
Oct01,106,2025-06-15
Nov01,113,2025-06-15
Dic01,112,2025-06-15
Ene02,116,2025-06-15
Feb02,113,2025-06-15
Mar02,113,2025-06-15
Abr02,108,2025-06-15
May02,115,2025-06-15
Jun02,117,2025-06-15
Jul02,123,2025-06-15
Ago02,133,2025-06-15
Sep02,132,2025-06-15
Oct02,133,2025-06-15
Nov02,133,2025-06-15
Dic02,129,2025-06-15
Ene03,130,2025-06-15
Feb03,127,2025-06-15
Mar03,127,2025-06-15
Abr03,126,2025-06-15
May03,130,2025-06-15
Jun03,129,2025-06-15
Jul03,117,2025-06-15
Ago03,127,2025-06-15
Sep03,124,2025-06-15
Oct03,132,2025-06-15
Nov03,135,2025-06-15
Dic03,134,2025-06-15
Ene04,141,2025-06-15
Feb04,146,2025-06-15
Mar04,152,2025-06-15
Abr04,153,2025-06-15
May04,150,2025-06-15
Jun04,139,2025-06-15
Jul04,122,2025-06-15
Ago04,127,2025-06-15
Sep04,116,2025-06-15
Oct04,117,2025-06-15
Nov04,117,2025-06-15
Dic04,119,2025-06-15
Ene05,118,2025-06-15
Feb05,120,2025-06-15
Mar05,121,2025-06-15
Abr05,118,2025-06-15
May05,118,2025-06-15
Jun05,121,2025-06-15
Jul05,129,2025-06-15
Ago05,118,2025-06-15
Sep05,118,2025-06-15
Oct05,125,2025-06-15
Nov05,117,2025-06-15
Dic05,126,2025-06-15
Ene06,124,2025-06-15
Feb06,129,2025-06-15
Mar06,125,2025-06-15
Abr06,129,2025-06-15
May06,135,2025-06-15
Jun06,129,2025-06-15
Jul06,136,2025-06-15
Ago06,138,2025-06-15
Sep06,145,2025-06-15
Oct06,172,2025-06-15
Nov06,190,2025-06-15
Dic06,185,2025-06-15
Ene07,195,2025-06-15
Feb07,204,2025-06-15
Mar07,187,2025-06-15
Abr07,177,2025-06-15
May07,185,2025-06-15
Jun07,185,2025-06-15
Jul07,167,2025-06-15
Ago07,177,2025-06-15
Sep07,194,2025-06-15
Oct07,199,2025-06-15
Nov07,207,2025-06-15
Dic07,227,2025-06-15
Ene08,241,2025-06-15
Feb08,254,2025-06-15
Mar08,257,2025-06-15
Abr08,270,2025-06-15
May08,264,2025-06-15
Jun08,326,2025-06-15
Jul08,271,2025-06-15
Ago08,272,2025-06-15
Sep08,256,2025-06-15
Oct08,202,2025-06-15
Nov08,183,2025-06-15
Dic08,195,2025-06-15
Ene09,197,2025-06-15
Feb09,180,2025-06-15
Mar09,194,2025-06-15
Abr09,191,2025-06-15
May09,209,2025-06-15
Jun09,197,2025-06-15
Jul09,180,2025-06-15
Ago09,181,2025-06-15
Sep09,185,2025-06-15
Oct09,203,2025-06-15
Nov09,202,2025-06-15
Dic09,207,2025-06-15
Ene10,192,2025-06-15
Feb10,190,2025-06-15
Mar10,183,2025-06-15
Abr10,186,2025-06-15
May10,188,2025-06-15
Jun10,182,2025-06-15
Jul10,196,2025-06-15
Ago10,220,2025-06-15
Sep10,260,2025-06-15
Oct10,280,2025-06-15
Nov10,260,2025-06-15
Dic10,285,2025-06-15
Ene11,299,2025-06-15
Feb11,325,2025-06-15
Mar11,313,2025-06-15
Abr11,343,2025-06-15
May11,342,2025-06-15
Jun11,318,2025-06-15
Jul11,332,2025-06-15
Ago11,338,2025-06-15
Sep11,305,2025-06-15
Oct11,305,2025-06-15
Nov11,288,2025-06-15
Dic11,286,2025-06-15
Ene12,295,2025-06-15
Feb12,304,2025-06-15
Mar12,301,2025-06-15
Abr12,295,2025-06-15
May12,293,2025-06-15
Jun12,300,2025-06-15
Jul12,365,2025-06-15
Ago12,358,2025-06-15
Sep12,339,2025-06-15
Oct12,343,2025-06-15
Nov12,353,2025-06-15
Dic12,328,2025-06-15
Ene13,333,2025-06-15
Feb13,323,2025-06-15
Mar13,337,2025-06-15
Abr13,306,2025-06-15
May13,318,2025-06-15
Jun13,344,2025-06-15
Jul13,274,2025-06-15
Ago13,251,2025-06-15
Sep13,243,2025-06-15
Oct13,234,2025-06-15
Nov13,235,2025-06-15
Dic13,233,2025-06-15
Ene14,232,2025-06-15
Feb14,247,2025-06-15
Mar14,258,2025-06-15
Abr14,255,2025-06-15
May14,242,2025-06-15
Jun14,235,2025-06-15
Jul14,217,2025-06-15
Ago14,213,2025-06-15
Sep14,200,2025-06-15
Oct14,211,2025-06-15
Nov14,213,2025-06-15
Dic14,209,2025-06-15
Ene15,203,2025-06-15
Feb15,200,2025-06-15
Mar15,199,2025-06-15
Abr15,199,2025-06-15
May15,190,2025-06-15
Jun15,197,2025-06-15
Jul15,202,2025-06-15
Ago15,188,2025-06-15
Sep15,197,2025-06-15
Oct15,200,2025-06-15
Nov15,191,2025-06-15
Dic15,188,2025-06-15
Ene16,193,2025-06-15
Feb16,185,2025-06-15
Mar16,162,2025-06-15
Abr16,168,2025-06-15
May16,174,2025-06-15
Jun16,190,2025-06-15
Jul16,173,2025-06-15
Ago16,167,2025-06-15
Sep16,161,2025-06-15
Oct16,166,2025-06-15
Nov16,163,2025-06-15
Dic16,159,2025-06-15
Ene17,167,2025-06-15
Feb17,171,2025-06-15
Mar17,163,2025-06-15
Abr17,160,2025-06-15
May17,160,2025-06-15
Jun17,161,2025-06-15
Jul17,162,2025-06-15
Ago17,158,2025-06-15
Sep17,154,2025-06-15
Oct17,157,2025-06-15
Nov17,156,2025-06-15
Dic17,156,2025-06-15
Ene18,164,2025-06-15
Feb18,170,2025-06-15
Mar18,183,2025-06-15
Abr18,193,2025-06-15
May18,195,2025-06-15
Jun18,172,2025-06-15
Jul18,161,2025-06-15
Ago18,170,2025-06-15
Sep18,158,2025-06-15
Oct18,166,2025-06-15
Nov18,164,2025-06-15
Dic18,169,2025-06-15
Ene19,171,2025-06-15
Feb19,177,2025-06-15
Mar19,175,2025-06-15
Abr19,167,2025-06-15
May19,176,2025-06-15
Jun19,197,2025-06-15
Jul19,196,2025-06-15
Ago19,175,2025-06-15
Sep19,158,2025-06-15
Oct19,171,2025-06-15
Nov19,171,2025-06-15
Dic19,171,2025-06-15
Ene20,177,2025-06-15
Feb20,176,2025-06-15
Mar20,170,2025-06-15
Abr20,154,2025-06-15
May20,149,2025-06-15
Jun20,161,2025-06-15
Jul20,169,2025-06-15
Ago20,166,2025-06-15
Sep20,187,2025-06-15
Oct20,219,2025-06-15
Nov20,223,2025-06-15
Dic20,221,2025-06-15
Ene21,245,2025-06-15
Feb21,252,2025-06-15
Mar21,253,2025-06-15
Abr21,275,2025-06-15
May21,315,2025-06-15
Jun21,302,2025-06-15
Jul21,299,2025-06-15
Ago21,264,2025-06-15
Sep21,276,2025-06-15
Oct21,269,2025-06-15
Nov21,266,2025-06-15
Dic21,273,2025-06-15
Ene22,285,2025-06-15
Feb22,306,2025-06-15
Mar22,362,2025-06-15
Abr22,355,2025-06-15
May22,352,2025-06-15
Jun22,341,2025-06-15
Jul22,309,2025-06-15
Ago22,306,2025-06-15
Sep22,326,2025-06-15
Oct22,365,2025-06-15
Nov22,341,2025-06-15
Dic22,309,2025-06-15
Ene23,304,2025-06-15
Feb23,298,2025-06-15
Mar23,290,2025-06-15
Abr23,294,2025-06-15
May23,269,2025-06-15
Jun23,274,2025-06-15
Jul23,247,2025-06-15
Ago23,217,2025-06-15
Sep23,233,2025-06-15
Oct23,228,2025-06-15
Nov23,212,2025-06-15
Dic23,205,2025-06-15
Ene24,204,2025-06-15
Feb24,193,2025-06-15
Mar24,191,2025-06-15
Abr24,192,2025-06-15
May24,198,2025-06-15
Jun24,196,2025-06-15
Jul24,184,2025-06-15
Ago24,183,2025-06-15
Sep24,202,2025-06-15
Oct24,210,2025-06-15
Nov24,208,2025-06-15
Dic24,207,2025-06-15
Ene25,219,2025-06-15
Feb25,227,2025-06-15
Mar25,209,2025-06-15
Abr25,220,2025-06-15
Jul01,113,2025-06-16
Ago01,112,2025-06-16
Sep01,107,2025-06-16
Oct01,106,2025-06-16
Nov01,113,2025-06-16
Dic01,112,2025-06-16
Ene02,116,2025-06-16
Feb02,113,2025-06-16
Mar02,113,2025-06-16
Abr02,108,2025-06-16
May02,115,2025-06-16
Jun02,117,2025-06-16
Jul02,123,2025-06-16
Ago02,133,2025-06-16
Sep02,132,2025-06-16
Oct02,133,2025-06-16
Nov02,133,2025-06-16
Dic02,129,2025-06-16
Ene03,130,2025-06-16
Feb03,127,2025-06-16
Mar03,127,2025-06-16
Abr03,126,2025-06-16
May03,130,2025-06-16
Jun03,129,2025-06-16
Jul03,117,2025-06-16
Ago03,127,2025-06-16
Sep03,124,2025-06-16
Oct03,132,2025-06-16
Nov03,135,2025-06-16
Dic03,134,2025-06-16
Ene04,141,2025-06-16
Feb04,146,2025-06-16
Mar04,152,2025-06-16
Abr04,153,2025-06-16
May04,150,2025-06-16
Jun04,139,2025-06-16
Jul04,122,2025-06-16
Ago04,127,2025-06-16
Sep04,116,2025-06-16
Oct04,117,2025-06-16
Nov04,117,2025-06-16
Dic04,119,2025-06-16
Ene05,118,2025-06-16
Feb05,120,2025-06-16
Mar05,121,2025-06-16
Abr05,118,2025-06-16
May05,118,2025-06-16
Jun05,121,2025-06-16
Jul05,129,2025-06-16
Ago05,118,2025-06-16
Sep05,118,2025-06-16
Oct05,125,2025-06-16
Nov05,117,2025-06-16
Dic05,126,2025-06-16
Ene06,124,2025-06-16
Feb06,129,2025-06-16
Mar06,125,2025-06-16
Abr06,129,2025-06-16
May06,135,2025-06-16
Jun06,129,2025-06-16
Jul06,136,2025-06-16
Ago06,138,2025-06-16
Sep06,145,2025-06-16
Oct06,172,2025-06-16
Nov06,190,2025-06-16
Dic06,185,2025-06-16
Ene07,195,2025-06-16
Feb07,204,2025-06-16
Mar07,187,2025-06-16
Abr07,177,2025-06-16
May07,185,2025-06-16
Jun07,185,2025-06-16
Jul07,167,2025-06-16
Ago07,177,2025-06-16
Sep07,194,2025-06-16
Oct07,199,2025-06-16
Nov07,207,2025-06-16
Dic07,227,2025-06-16
Ene08,241,2025-06-16
Feb08,254,2025-06-16
Mar08,257,2025-06-16
Abr08,270,2025-06-16
May08,264,2025-06-16
Jun08,326,2025-06-16
Jul08,271,2025-06-16
Ago08,272,2025-06-16
Sep08,256,2025-06-16
Oct08,202,2025-06-16
Nov08,183,2025-06-16
Dic08,195,2025-06-16
Ene09,197,2025-06-16
Feb09,180,2025-06-16
Mar09,194,2025-06-16
Abr09,191,2025-06-16
May09,209,2025-06-16
Jun09,197,2025-06-16
Jul09,180,2025-06-16
Ago09,181,2025-06-16
Sep09,185,2025-06-16
Oct09,203,2025-06-16
Nov09,202,2025-06-16
Dic09,207,2025-06-16
Ene10,192,2025-06-16
Feb10,190,2025-06-16
Mar10,183,2025-06-16
Abr10,186,2025-06-16
May10,188,2025-06-16
Jun10,182,2025-06-16
Jul10,196,2025-06-16
Ago10,220,2025-06-16
Sep10,260,2025-06-16
Oct10,280,2025-06-16
Nov10,260,2025-06-16
Dic10,285,2025-06-16
Ene11,299,2025-06-16
Feb11,325,2025-06-16
Mar11,313,2025-06-16
Abr11,343,2025-06-16
May11,342,2025-06-16
Jun11,318,2025-06-16
Jul11,332,2025-06-16
Ago11,338,2025-06-16
Sep11,305,2025-06-16
Oct11,305,2025-06-16
Nov11,288,2025-06-16
Dic11,286,2025-06-16
Ene12,295,2025-06-16
Feb12,304,2025-06-16
Mar12,301,2025-06-16
Abr12,295,2025-06-16
May12,293,2025-06-16
Jun12,300,2025-06-16
Jul12,365,2025-06-16
Ago12,358,2025-06-16
Sep12,339,2025-06-16
Oct12,343,2025-06-16
Nov12,353,2025-06-16
Dic12,328,2025-06-16
Ene13,333,2025-06-16
Feb13,323,2025-06-16
Mar13,337,2025-06-16
Abr13,306,2025-06-16
May13,318,2025-06-16
Jun13,344,2025-06-16
Jul13,274,2025-06-16
Ago13,251,2025-06-16
Sep13,243,2025-06-16
Oct13,234,2025-06-16
Nov13,235,2025-06-16
Dic13,233,2025-06-16
Ene14,232,2025-06-16
Feb14,247,2025-06-16
Mar14,258,2025-06-16
Abr14,255,2025-06-16
May14,242,2025-06-16
Jun14,235,2025-06-16
Jul14,217,2025-06-16
Ago14,213,2025-06-16
Sep14,200,2025-06-16
Oct14,211,2025-06-16
Nov14,213,2025-06-16
Dic14,209,2025-06-16
Ene15,203,2025-06-16
Feb15,200,2025-06-16
Mar15,199,2025-06-16
Abr15,199,2025-06-16
May15,190,2025-06-16
Jun15,197,2025-06-16
Jul15,202,2025-06-16
Ago15,188,2025-06-16
Sep15,197,2025-06-16
Oct15,200,2025-06-16
Nov15,191,2025-06-16
Dic15,188,2025-06-16
Ene16,193,2025-06-16
Feb16,185,2025-06-16
Mar16,162,2025-06-16
Abr16,168,2025-06-16
May16,174,2025-06-16
Jun16,190,2025-06-16
Jul16,173,2025-06-16
Ago16,167,2025-06-16
Sep16,161,2025-06-16
Oct16,166,2025-06-16
Nov16,163,2025-06-16
Dic16,159,2025-06-16
Ene17,167,2025-06-16
Feb17,171,2025-06-16
Mar17,163,2025-06-16
Abr17,160,2025-06-16
May17,160,2025-06-16
Jun17,161,2025-06-16
Jul17,162,2025-06-16
Ago17,158,2025-06-16
Sep17,154,2025-06-16
Oct17,157,2025-06-16
Nov17,156,2025-06-16
Dic17,156,2025-06-16
Ene18,164,2025-06-16
Feb18,170,2025-06-16
Mar18,183,2025-06-16
Abr18,193,2025-06-16
May18,195,2025-06-16
Jun18,172,2025-06-16
Jul18,161,2025-06-16
Ago18,170,2025-06-16
Sep18,158,2025-06-16
Oct18,166,2025-06-16
Nov18,164,2025-06-16
Dic18,169,2025-06-16
Ene19,171,2025-06-16
Feb19,177,2025-06-16
Mar19,175,2025-06-16
Abr19,167,2025-06-16
May19,176,2025-06-16
Jun19,197,2025-06-16
Jul19,196,2025-06-16
Ago19,175,2025-06-16
Sep19,158,2025-06-16
Oct19,171,2025-06-16
Nov19,171,2025-06-16
Dic19,171,2025-06-16
Ene20,177,2025-06-16
Feb20,176,2025-06-16
Mar20,170,2025-06-16
Abr20,154,2025-06-16
May20,149,2025-06-16
Jun20,161,2025-06-16
Jul20,169,2025-06-16
Ago20,166,2025-06-16
Sep20,187,2025-06-16
Oct20,219,2025-06-16
Nov20,223,2025-06-16
Dic20,221,2025-06-16
Ene21,245,2025-06-16
Feb21,252,2025-06-16
Mar21,253,2025-06-16
Abr21,275,2025-06-16
May21,315,2025-06-16
Jun21,302,2025-06-16
Jul21,299,2025-06-16
Ago21,264,2025-06-16
Sep21,276,2025-06-16
Oct21,269,2025-06-16
Nov21,266,2025-06-16
Dic21,273,2025-06-16
Ene22,285,2025-06-16
Feb22,306,2025-06-16
Mar22,362,2025-06-16
Abr22,355,2025-06-16
May22,352,2025-06-16
Jun22,341,2025-06-16
Jul22,309,2025-06-16
Ago22,306,2025-06-16
Sep22,326,2025-06-16
Oct22,365,2025-06-16
Nov22,341,2025-06-16
Dic22,309,2025-06-16
Ene23,304,2025-06-16
Feb23,298,2025-06-16
Mar23,290,2025-06-16
Abr23,294,2025-06-16
May23,269,2025-06-16
Jun23,274,2025-06-16
Jul23,247,2025-06-16
Ago23,217,2025-06-16
Sep23,233,2025-06-16
Oct23,228,2025-06-16
Nov23,212,2025-06-16
Dic23,205,2025-06-16
Ene24,204,2025-06-16
Feb24,193,2025-06-16
Mar24,191,2025-06-16
Abr24,192,2025-06-16
May24,198,2025-06-16
Jun24,196,2025-06-16
Jul24,184,2025-06-16
Ago24,183,2025-06-16
Sep24,202,2025-06-16
Oct24,210,2025-06-16
Nov24,208,2025-06-16
Dic24,207,2025-06-16
Ene25,219,2025-06-16
Feb25,227,2025-06-16
Mar25,209,2025-06-16
Abr25,220,2025-06-16
Jul01,113,2025-06-17
Ago01,112,2025-06-17
Sep01,107,2025-06-17
Oct01,106,2025-06-17
Nov01,113,2025-06-17
Dic01,112,2025-06-17
Ene02,116,2025-06-17
Feb02,113,2025-06-17
Mar02,113,2025-06-17
Abr02,108,2025-06-17
May02,115,2025-06-17
Jun02,117,2025-06-17
Jul02,123,2025-06-17
Ago02,133,2025-06-17
Sep02,132,2025-06-17
Oct02,133,2025-06-17
Nov02,133,2025-06-17
Dic02,129,2025-06-17
Ene03,130,2025-06-17
Feb03,127,2025-06-17
Mar03,127,2025-06-17
Abr03,126,2025-06-17
May03,130,2025-06-17
Jun03,129,2025-06-17
Jul03,117,2025-06-17
Ago03,127,2025-06-17
Sep03,124,2025-06-17
Oct03,132,2025-06-17
Nov03,135,2025-06-17
Dic03,134,2025-06-17
Ene04,141,2025-06-17
Feb04,146,2025-06-17
Mar04,152,2025-06-17
Abr04,153,2025-06-17
May04,150,2025-06-17
Jun04,139,2025-06-17
Jul04,122,2025-06-17
Ago04,127,2025-06-17
Sep04,116,2025-06-17
Oct04,117,2025-06-17
Nov04,117,2025-06-17
Dic04,119,2025-06-17
Ene05,118,2025-06-17
Feb05,120,2025-06-17
Mar05,121,2025-06-17
Abr05,118,2025-06-17
May05,118,2025-06-17
Jun05,121,2025-06-17
Jul05,129,2025-06-17
Ago05,118,2025-06-17
Sep05,118,2025-06-17
Oct05,125,2025-06-17
Nov05,117,2025-06-17
Dic05,126,2025-06-17
Ene06,124,2025-06-17
Feb06,129,2025-06-17
Mar06,125,2025-06-17
Abr06,129,2025-06-17
May06,135,2025-06-17
Jun06,129,2025-06-17
Jul06,136,2025-06-17
Ago06,138,2025-06-17
Sep06,145,2025-06-17
Oct06,172,2025-06-17
Nov06,190,2025-06-17
Dic06,185,2025-06-17
Ene07,195,2025-06-17
Feb07,204,2025-06-17
Mar07,187,2025-06-17
Abr07,177,2025-06-17
May07,185,2025-06-17
Jun07,185,2025-06-17
Jul07,167,2025-06-17
Ago07,177,2025-06-17
Sep07,194,2025-06-17
Oct07,199,2025-06-17
Nov07,207,2025-06-17
Dic07,227,2025-06-17
Ene08,241,2025-06-17
Feb08,254,2025-06-17
Mar08,257,2025-06-17
Abr08,270,2025-06-17
May08,264,2025-06-17
Jun08,326,2025-06-17
Jul08,271,2025-06-17
Ago08,272,2025-06-17
Sep08,256,2025-06-17
Oct08,202,2025-06-17
Nov08,183,2025-06-17
Dic08,195,2025-06-17
Ene09,197,2025-06-17
Feb09,180,2025-06-17
Mar09,194,2025-06-17
Abr09,191,2025-06-17
May09,209,2025-06-17
Jun09,197,2025-06-17
Jul09,180,2025-06-17
Ago09,181,2025-06-17
Sep09,185,2025-06-17
Oct09,203,2025-06-17
Nov09,202,2025-06-17
Dic09,207,2025-06-17
Ene10,192,2025-06-17
Feb10,190,2025-06-17
Mar10,183,2025-06-17
Abr10,186,2025-06-17
May10,188,2025-06-17
Jun10,182,2025-06-17
Jul10,196,2025-06-17
Ago10,220,2025-06-17
Sep10,260,2025-06-17
Oct10,280,2025-06-17
Nov10,260,2025-06-17
Dic10,285,2025-06-17
Ene11,299,2025-06-17
Feb11,325,2025-06-17
Mar11,313,2025-06-17
Abr11,343,2025-06-17
May11,342,2025-06-17
Jun11,318,2025-06-17
Jul11,332,2025-06-17
Ago11,338,2025-06-17
Sep11,305,2025-06-17
Oct11,305,2025-06-17
Nov11,288,2025-06-17
Dic11,286,2025-06-17
Ene12,295,2025-06-17
Feb12,304,2025-06-17
Mar12,301,2025-06-17
Abr12,295,2025-06-17
May12,293,2025-06-17
Jun12,300,2025-06-17
Jul12,365,2025-06-17
Ago12,358,2025-06-17
Sep12,339,2025-06-17
Oct12,343,2025-06-17
Nov12,353,2025-06-17
Dic12,328,2025-06-17
Ene13,333,2025-06-17
Feb13,323,2025-06-17
Mar13,337,2025-06-17
Abr13,306,2025-06-17
May13,318,2025-06-17
Jun13,344,2025-06-17
Jul13,274,2025-06-17
Ago13,251,2025-06-17
Sep13,243,2025-06-17
Oct13,234,2025-06-17
Nov13,235,2025-06-17
Dic13,233,2025-06-17
Ene14,232,2025-06-17
Feb14,247,2025-06-17
Mar14,258,2025-06-17
Abr14,255,2025-06-17
May14,242,2025-06-17
Jun14,235,2025-06-17
Jul14,217,2025-06-17
Ago14,213,2025-06-17
Sep14,200,2025-06-17
Oct14,211,2025-06-17
Nov14,213,2025-06-17
Dic14,209,2025-06-17
Ene15,203,2025-06-17
Feb15,200,2025-06-17
Mar15,199,2025-06-17
Abr15,199,2025-06-17
May15,190,2025-06-17
Jun15,197,2025-06-17
Jul15,202,2025-06-17
Ago15,188,2025-06-17
Sep15,197,2025-06-17
